ime,konec_sezone,ekipa,stevilka
Art Heyman,1965,NYK,4
Gerry Ward,1965,BOS,4
Dick Barnett,1965,LAL,5
Willie Jones,1965,DET,5
Paul Neumann,1965,PHI,5
Guy Rodgers,1965,SFW,5
Tom Gola,1965,NYK,6
Bill Russell,1965,BOS,6
Em Bryant,1965,NYK,7
Gary Phillips,1965,SFW,7
Walt Bellamy,1965,BAL,8
Connie Dierking,1965,SFW,9
George Lee,1965,SFW,9
Bob Pettit,1965,STL,9
Dave Budd,1965,NYK,10
Red Kerr,1965,PHI,10
Don Ohl,1965,BAL,10
Adrian Smith,1965,CIN,10
Rod Thorn,1965,DET,10
Bucky Bockhorn,1965,CIN,11
Mel Counts,1965,BOS,11
Johnny Green,1965,NYK,11
Si Green,1965,BAL,11
Mike Farmer,1965,STL,12
Bob Ferry,1965,BAL,12
Gary Hill,1965,SFW,12
Larry Jones,1965,PHI,12
Willie Naulls,1965,BOS,12
Ray Scott,1965,DET,12
Gene Wiley,1965,LAL,12
Wilt Chamberlain,1965,PHI,13
Bob Boozer,1965,NYK,14
Darrall Imhoff,1965,LAL,14
Tom Meschery,1965,SFW,14
Eddie Miles,1965,DET,14
Oscar Robertson,1965,CIN,14
Ben Warley,1965,PHI,14
Lenny Wilkens,1965,STL,14
Johnny Egan,1965,NYK,15
Wayne Embry,1965,CIN,15
Hal Greer,1965,PHI,15
Richie Guerin,1965,STL,15
Tom Heinsohn,1965,BOS,15
Bailey Howell,1965,BAL,15
Bud Koper,1965,SFW,15
Jackie Moreland,1965,DET,15
Paul Neumann,1965,SFW,15
Al Attles,1965,SFW,16
Cliff Hagan,1965,STL,16
Don Kojis,1965,DET,16
Howard Komives,1965,NYK,16
Jerry Lucas,1965,CIN,16
Tom Sanders,1965,BOS,16
John Havlicek,1965,BOS,17
Cotton Nash,1965,SFW,17
Chico Vaughn,1965,STL,17
George Wilson,1965,CIN,17
Connie Dierking,1965,SFW,18
Terry Dischinger,1965,DET,18
John Rudometkin,1965,NYK,18
John Thompson,1965,BOS,18
Reggie Harding,1965,DET,19
Willis Reed,1965,NYK,19
John Barnhill,1965,STL,20
Al Butler,1965,BAL,20
Dave Gambee,1965,PHI,20
Tom Hawkins,1965,CIN,20
Wayne Hightower,1965,BAL,20
Gary Hill,1965,BAL,20
Don Nelson,1965,LAL,20
Hub Reed,1965,DET,20
Larry Siegfried,1965,BOS,20
Jay Arnette,1965,CIN,21
Ron Bonham,1965,BOS,21
Joe Caldwell,1965,DET,21
Larry Costello,1965,PHI,21
Si Green,1965,BAL,21
Jim King,1965,LAL,21
Barry Kramer,1965,NYK,21
Jim Barnes,1965,NYK,22
Elgin Baylor,1965,LAL,22
Dave DeBusschere,1965,DET,22
Jerry Greenspan,1965,PHI,22
Happy Hairston,1965,CIN,22
Kevin Loughery,1965,BAL,22
Steve Courtin,1965,PHI,23
Charlie Hardnett,1965,BAL,23
Tom Hoover,1965,NYK,23
Hub Reed,1965,DET,23
Al Bianchi,1965,PHI,24
Donnie Butcher,1965,DET,24
Len Chappell,1965,NYK,24
Sam Jones,1965,BOS,24
Wali Jones,1965,BAL,24
Bob Duffy,1965,DET,25
Leroy Ellis,1965,LAL,25
Gus Johnson,1965,BAL,25
K.C. Jones,1965,BOS,25
Tom Thacker,1965,CIN,25
John Tresvant,1965,STL,25
Chet Walker,1965,PHI,25
Connie Dierking,1965,PHI,26
Jack Twyman,1965,CIN,27
Paul Silas,1965,STL,29
Zelmo Beaty,1965,STL,31
Bill Bridges,1965,STL,32
Jerry Grote,1965,LAL,32
Gary Bradds,1965,BAL,33
Cotton Nash,1965,LAL,33
Ed Burton,1965,STL,34
Barry Kramer,1965,SFW,34
Bevo Nordmann,1965,BOS,34
Bud Olsen,1965,CIN,34
John Rudometkin,1965,SFW,34
Rudy LaRusso,1965,LAL,35
Bill McGill,1965,LAL,40
Les Hunter,1965,BAL,41
Walt Hazzard,1965,LAL,42
Nate Thurmond,1965,SFW,42
Jeff Mullins,1965,STL,44
Jerry West,1965,LAL,44
Luke Jackson,1965,PHI,54
Wayne Hightower,1965,SFW,55
McCoy McLemore,1965,SFW,71
Guy Rodgers,1966,SFW,5
John Thompson,1966,BOS,5
Dick Van Arsdale,1966,NYK,5
Tom Van Arsdale,1966,DET,5
Tom Gola,1966,NYK,6
Bill Russell,1966,BOS,6
Em Bryant,1966,NYK,7
Gary Phillips,1966,SFW,7
Walt Bellamy,1966,BAL,8
Will Frazier,1966,SFW,9
Dave Stallworth,1966,NYK,9
Barry Clemens,1966,NYK,10
Don Ohl,1966,BAL,10
Adrian Smith,1966,CIN,10
Rod Thorn,1966,DET,10
Chico Vaughn,1966,DET,10
Mel Counts,1966,BOS,11
Johnny Egan,1966,BAL,11
Gail Goodrich,1966,LAL,11
Johnny Green,1966,NYK,11
Jon McGlocklin,1966,CIN,11
Thales McReynolds,1966,BAL,11
Dick Barnett,1966,NYK,12
Mike Farmer,1966,STL,12
Bob Ferry,1966,BAL,12
Willie Naulls,1966,BOS,12
Ray Scott,1966,DET,12
Gerry Ward,1966,PHI,12
Ron Watts,1966,BOS,12
Gene Wiley,1966,LAL,12
Wilt Chamberlain,1966,PHI,13
Darrall Imhoff,1966,LAL,14
Tom Meschery,1966,SFW,14
Eddie Miles,1966,DET,14
Oscar Robertson,1966,CIN,14
Jerry Sloan,1966,BAL,14
Ben Warley,1966,PHI,14
Lenny Wilkens,1966,STL,14
Bob Boozer,1966,LAL,15
Johnny Egan,1966,NYK,15
Wayne Embry,1966,CIN,15
Hal Greer,1966,PHI,15
Richie Guerin,1966,STL,15
Bailey Howell,1966,BAL,15
Paul Neumann,1966,SFW,15
Al Attles,1966,SFW,16
Cliff Hagan,1966,STL,16
Don Kojis,1966,DET,16
Howard Komives,1966,NYK,16
Jerry Lucas,1966,CIN,16
Tom Sanders,1966,BOS,16
Joe Strawder,1966,DET,16
Bill Buntin,1966,DET,17
John Havlicek,1966,BOS,17
Chico Vaughn,1966,STL,17
George Wilson,1966,CIN,17
Keith Erickson,1966,SFW,18
Woody Sauldsberry,1966,BOS,18
Bob Warlick,1966,DET,18
Don Nelson,1966,BOS,19
Willis Reed,1966,NYK,19
John Barnhill,1966,STL,20
Dave Gambee,1966,PHI,20
Tom Hawkins,1966,CIN,20
Wayne Hightower,1966,BAL,20
Ron Reed,1966,DET,20
Larry Siegfried,1966,BOS,20
Jay Arnette,1966,CIN,21
John Barnhill,1966,DET,21
Ron Bonham,1966,BOS,21
Joe Caldwell,1966,DET,21
Art Heyman,1966,CIN,21
Jim King,1966,LAL,21
Jim Barnes,1966,NYK,22
Elgin Baylor,1966,LAL,22
Jesse Branson,1966,PHI,22
Dave DeBusschere,1966,DET,22
Happy Hairston,1966,CIN,22
Kevin Loughery,1966,BAL,22
Rod Thorn,1966,STL,22
Wali Jones,1966,PHI,23
John Tresvant,1966,DET,23
Rick Barry,1966,SFW,24
Al Bianchi,1966,PHI,24
Donnie Butcher,1966,DET,24
Len Chappell,1966,NYK,24
Connie Dierking,1966,CIN,24
Johnny Green,1966,BAL,24
Sam Jones,1966,BOS,24
Willie Somerset,1966,BAL,24
Leroy Ellis,1966,LAL,25
Gus Johnson,1966,BAL,25
K.C. Jones,1966,BOS,25
Tom Thacker,1966,CIN,25
Chet Walker,1966,PHI,25
Jim Washington,1966,STL,25
Joe Caldwell,1966,STL,27
John Tresvant,1966,STL,27
Jack Twyman,1966,CIN,27
Si Green,1966,BOS,28
Paul Silas,1966,STL,29
Dave Gambee,1966,PHI,30
Zelmo Beaty,1966,STL,31
Bill Bridges,1966,STL,32
Billy Cunningham,1966,PHI,32
McCoy McLemore,1966,SFW,32
Gary Bradds,1966,BAL,33
John Fairchild,1966,LAL,33
