ime,visina,teza,leto_rojstva,mesec_rojstva,dan_rojstva,povprecje_tocke,povprecje_skoki,povprecje_asistence
Art Heyman,196,92,1941,06,24,13.0,4.7,2.8
Gerry Ward,193,88,1941,09,06,3.2,1.7,1.4
Dick Barnett,193,86,1936,10,02,15.8,2.9,2.8
Willie Jones,190,83,1936,06,29,7.4,2.8,2.0
Paul Neumann,185,79,1938,01,30,11.1,2.9,3.2
Guy Rodgers,183,83,1935,09,01,11.7,4.3,7.8
Tom Gola,198,92,1933,01,13,11.3,8.0,4.2
Bill Russell,208,97,1934,02,12,15.1,22.5,4.3
Em Bryant,185,79,1938,11,04,6.6,2.8,3.0
Gary Phillips,190,85,1939,12,07,6.7,2.6,1.9
Walt Bellamy,211,102,1939,07,24,20.1,13.7,2.4
Connie Dierking,206,100,1936,10,02,10.0,6.7,1.5
George Lee,193,90,1936,11,23,7.5,4.2,0.9
Bob Pettit,206,92,1932,12,12,26.4,16.2,3.0
Dave Budd,198,92,1938,10,28,7.1,4.6,1.0
Red Kerr,206,104,1932,07,17,13.8,11.2,2.2
Don Ohl,190,86,1936,04,18,15.9,3.0,3.1
Adrian Smith,185,81,1936,10,05,11.3,2.1,2.3
Rod Thorn,193,88,1941,05,23,10.8,3.1,2.6
Bucky Bockhorn,193,90,1933,07,08,11.5,4.7,3.5
Mel Counts,213,104,1941,10,16,8.3,6.0,1.4
Johnny Green,196,90,1933,12,08,11.6,8.6,1.4
Si Green,188,83,1933,08,20,9.2,4.3,3.3
Mike Farmer,201,95,1936,09,26,6.7,4.6,1.3
Bob Ferry,203,104,1937,05,31,9.1,5.3,1.4
Gary Hill,193,83,1941,10,07,4.7,1.6,1.4
Larry Jones,188,81,1942,09,22,19.1,4.9,3.7
Willie Naulls,198,102,1934,10,07,15.8,9.1,1.6
Ray Scott,206,97,1938,07,12,14.3,9.8,2.2
Gene Wiley,208,95,1937,11,12,4.2,7.2,0.8
Wilt Chamberlain,216,124,1936,08,21,30.1,22.9,4.4
Bob Boozer,203,97,1937,04,26,14.8,8.1,1.4
Darrall Imhoff,208,99,1938,10,11,7.2,7.6,1.8
Tom Meschery,198,97,1938,10,26,12.7,8.6,1.7
Eddie Miles,193,88,1940,07,05,13.4,3.1,2.0
Oscar Robertson,196,92,1938,11,24,25.7,7.5,9.5
Ben Warley,196,90,1936,09,04,8.5,5.6,0.8
Lenny Wilkens,185,81,1937,10,28,16.5,4.7,6.7
Johnny Egan,180,81,1939,01,31,7.8,1.8,3.0
Wayne Embry,203,108,1937,03,26,12.5,9.1,1.4
Hal Greer,188,79,1936,06,26,19.2,5.0,4.0
Richie Guerin,193,88,1932,05,29,17.3,5.0,5.0
Tom Heinsohn,201,98,1934,08,26,18.6,8.8,2.0
Bailey Howell,201,95,1937,01,20,18.7,9.9,2.0
Bud Koper,198,95,1942,08,09,4.6,1.1,0.8
Jackie Moreland,201,97,1938,03,11,9.8,5.9,1.6
Al Attles,183,79,1936,11,07,8.9,3.5,3.5
Cliff Hagan,193,95,1931,12,09,17.7,6.6,3.2
Don Kojis,196,97,1939,01,15,12.2,5.6,1.4
Howard Komives,185,83,1941,05,09,10.2,2.4,4.0
Jerry Lucas,203,104,1940,03,30,17.0,15.6,3.3
Tom Sanders,198,95,1938,11,08,9.6,6.3,1.1
John Havlicek,196,92,1940,04,08,20.8,6.3,4.8
Cotton Nash,196,97,1942,07,24,5.6,3.3,0.8
Chico Vaughn,188,86,1940,02,19,11.9,2.5,2.1
George Wilson,203,102,1942,05,09,5.4,5.2,0.7
Terry Dischinger,201,85,1940,11,21,13.8,5.6,1.8
John Rudometkin,198,92,1940,06,06,6.3,3.1,0.5
John Thompson,208,102,1941,09,02,3.5,3.5,0.3
Reggie Harding,213,112,1942,05,04,9.5,9.6,1.7
Willis Reed,206,106,1942,06,25,18.7,12.9,1.8
John Barnhill,185,81,1938,03,20,8.6,2.5,2.9
Al Butler,188,79,1938,07,09,9.8,3.0,2.3
Dave Gambee,198,97,1937,04,16,10.6,5.2,1.0
Tom Hawkins,196,95,1936,12,22,8.7,6.0,1.1
Wayne Hightower,203,87,1940,01,14,11.6,7.0,1.7
Don Nelson,198,95,1940,05,15,10.3,4.9,1.4
Hub Reed,206,97,1936,10,04,5.5,5.1,0.8
Larry Siegfried,190,86,1939,05,22,10.8,2.8,3.5
Jay Arnette,188,79,1938,12,19,3.7,1.0,1.2
Ron Bonham,196,87,1942,05,31,6.1,1.4,0.4
Joe Caldwell,196,88,1941,11,01,16.1,5.3,3.4
Larry Costello,185,84,1931,07,02,12.2,3.8,4.6
Jim King,188,79,1941,02,07,7.2,2.5,2.3
Barry Kramer,193,90,1942,11,10,3.6,1.9,0.7
Jim Barnes,203,95,1941,04,13,8.8,6.5,0.8
Elgin Baylor,196,102,1934,09,16,27.4,13.5,4.3
Dave DeBusschere,198,99,1940,10,16,16.1,11.0,2.9
Jerry Greenspan,196,88,1941,11,22,4.9,3.3,0.4
Happy Hairston,201,102,1942,05,31,14.8,10.3,1.6
Kevin Loughery,190,86,1940,03,28,15.3,3.0,3.7
Steve Courtin,185,85,1942,09,21,4.2,0.9,0.9
Charlie Hardnett,203,102,1938,09,13,7.3,5.7,0.6
Tom Hoover,206,104,1941,01,23,5.9,6.2,1.1
Al Bianchi,190,83,1932,03,26,8.1,2.5,2.2
Donnie Butcher,188,90,1936,02,08,6.1,2.9,2.1
Len Chappell,203,108,1941,01,31,9.3,5.1,0.8
Sam Jones,193,89,1933,06,24,17.7,4.9,2.5
Wali Jones,188,81,1942,02,14,9.8,2.2,3.1
Bob Duffy,190,83,1940,09,26,4.3,1.1,1.8
Leroy Ellis,208,95,1940,03,10,9.7,8.3,1.3
Gus Johnson,198,104,1938,12,13,16.2,12.1,2.5
K.C. Jones,185,90,1932,05,25,7.4,3.5,4.3
Tom Thacker,188,77,1939,11,02,3.2,2.6,1.5
John Tresvant,201,97,1939,11,06,9.2,6.3,1.4
Chet Walker,198,96,1940,02,22,18.2,7.1,2.1
Jack Twyman,198,95,1934,05,11,19.2,6.6,2.3
Paul Silas,201,99,1943,07,12,9.4,9.9,2.1
Zelmo Beaty,206,102,1939,10,25,17.1,10.9,1.5
Bill Bridges,198,103,1939,04,04,11.9,11.9,2.8
Jerry Grote,193,97,1940,12,28,1.3,0.4,0.4
Gary Bradds,203,95,1942,07,26,12.2,5.5,0.9
Ed Burton,198,102,1939,08,13,2.2,1.2,0.2
Bevo Nordmann,208,102,1939,12,11,4.3,3.9,0.5
Bud Olsen,203,99,1940,07,25,4.3,3.3,1.2
Rudy LaRusso,201,99,1937,11,11,15.6,9.4,2.1
Bill McGill,206,102,1939,09,16,10.5,4.4,1.1
Les Hunter,201,95,1942,08,16,12.3,6.9,1.6
Walt Hazzard,188,83,1942,04,15,12.6,3.0,4.9
Nate Thurmond,211,102,1941,07,25,15.0,15.0,2.7
Jeff Mullins,193,86,1942,03,18,16.2,4.3,3.8
Jerry West,188,79,1938,05,28,27.0,5.8,6.7
Luke Jackson,206,108,1941,10,31,9.9,8.8,1.6
McCoy McLemore,201,104,1942,04,03,8.8,5.5,1.3
Dick Van Arsdale,196,95,1943,02,22,16.4,4.1,3.3
Tom Van Arsdale,196,91,1943,02,22,15.3,4.2,2.2
Will Frazier,201,95,1942,08,24,9.8,7.1,1.1
Dave Stallworth,201,90,1941,12,20,9.3,4.7,1.7
Barry Clemens,198,95,1943,05,01,6.7,3.2,1.1
Gail Goodrich,185,77,1943,04,23,18.6,3.2,4.7
Jon McGlocklin,196,92,1943,06,10,11.6,2.4,2.9
Thales McReynolds,190,83,1943,06,08,0.6,1.2,0.2
Ron Watts,198,95,1943,05,21,1.4,1.4,0.1
Jerry Sloan,196,88,1942,03,28,14.0,7.4,2.5
Joe Strawder,208,106,1940,09,21,8.6,9.9,1.1
Bill Buntin,201,113,1942,05,05,7.7,6.0,0.9
Keith Erickson,196,88,1944,04,19,9.5,4.5,2.6
Woody Sauldsberry,201,99,1934,07,11,10.7,7.8,1.1
Bob Warlick,196,90,1941,03,20,7.9,3.0,2.1
Ron Reed,196,92,1942,11,02,8.0,6.4,1.5
Jesse Branson,201,88,1942,01,07,13.1,6.6,0.8
Rick Barry,201,92,1944,03,28,24.8,6.7,4.9
Willie Somerset,173,77,1942,03,17,21.9,4.6,3.6
Jim Washington,198,95,1943,07,01,10.6,8.6,1.4
Billy Cunningham,198,95,1943,06,03,21.2,10.4,4.3
John Fairchild,203,92,1943,04,28,6.6,3.2,0.7
Gene Tormohlen,203,104,1937,05,12,4.4,4.1,0.9
Bob Weiss,188,81,1942,05,07,7.6,1.8,3.7
Fred Hetzel,203,99,1942,07,21,11.2,5.9,1.1
Dave Deutsch,185,77,1945,05,13,1.1,1.1,0.8
Freddie Crawford,193,85,1941,12,23,6.8,2.5,2.1
Dave Schellhase,190,92,1944,10,14,2.8,1.0,0.8
Henry Akin,208,102,1944,07,31,3.5,2.1,0.5
Dick Snyder,196,93,1944,02,01,12.2,2.8,2.9
Jim Barnett,193,77,1944,07,07,11.7,3.1,3.0
Neil Johnson,201,99,1943,04,17,6.9,5.3,1.7
Nate Bowman,208,104,1943,03,19,2.9,3.4,0.7
Walt Wesley,211,99,1945,01,25,8.5,5.5,0.7
Matt Guokas,196,79,1944,02,25,5.8,2.0,3.0
Erwin Mueller,203,104,1944,03,12,7.4,4.7,2.0
Cazzie Russell,196,98,1944,06,07,15.1,3.8,2.2
Hank Finkel,213,108,1942,04,20,5.1,3.9,0.8
Jack Marin,201,90,1944,10,12,14.8,5.2,2.1
